,Store ID,Store Name,Location,Phone,Manager
0,1,Dayli,"263 Ransford Road, Buenos Aires",13743144477,Emila Hussnain
1,2,Tarun,"150 Meighan- Street, Los Angeles",13774418869,Moya Derrin-Lee
2,3,Prabhleen,"95 Kasie-Ma Avenue, Sao Paulo",15824117267,Harlie-Ella Liylli-Anne
3,4,Birgul,"132 Anouchka Avenue, Madrid",19178043220,Judyta Stoyan
4,5,Calum-Iain,"949 Keyarah Avenue, Paris",18691583399,Cladia Kassima-Mae
5,6,Aaeedah,"192 Terry Lane, Buenos Aires",13748707153,Lexi-Shayne Zekari
6,7,Gizem,"811 Estela Street, Bangkok",18692004317,Alishia Mailli
7,8,Earl,"321 Sans Road, Madrid",18972839618,Nayal Frantisek
8,9,Iglika,"700 Lilly-Ka Avenue, Hong Kong",13785730697,Mansour Jibran
9,10,Morna,"133 Vasileio Road, Manila",19170603895,Annam Olivia-Shay
10,11,Phelan,"375 Ariyana Road, Los Angeles",19135875308,Tayim Aniyah-Rose
11,12,Deaglan,"41 Efrim Avenue, Manila",15833252378,Malumbo Codin
12,13,Lincon,"750 Prithvi Road, Beijing",13723380716,Emaad Kylor
13,14,Adrius,"276 Breanna Lane, Paris",19135738021,Efterpi Nicodemus
14,15,Eldin,"971 Connier Avenue, Sao Paulo",18684734899,Mayia Terri-Lee
15,16,Kylee,"852 Markan Avenue, Guangzhou",18677580587,Ilalol Calel
16,17,Leora,"998 Harlii Lane, Guangzhou",18977961029,Marthienus Lexine
17,18,Struan,"135 Remiel Street, Paris",15845674259,Laurentiu Tahani
18,19,Arriah-Rose,"37 Quesne Avenue, Paris",19118148911,Xaro Sunni
19,20,Rivaan,"104 Haydn-Qu Lane, Seoul",18683791241,Aarin Cheikh
20,21,Ivana,"48 Bowen Road, Guangzhou",13750721143,Leah-Grace Haoqi
21,22,Rubeinn,"578 Maria-Pa Street, Beijing",18989031174,Jamiee-Leigh Marnie
22,23,Shahbaj,"711 Kacius Avenue, Seoul",18688468346,Briege Jaxen
23,24,Scarllett,"626 Dawoud Avenue, Los Angeles",18973890234,Edward Alana-May
24,25,Xenia,"804 Madison- Road, Manila",15888578261,Genavieve Momin
25,26,Faeryn,"152 Khalie Lane, Beijing",15890350045,Kean Silver
26,27,Aaya,"146 Anuthy Avenue, Hong Kong",18932054831,John-Joseph Hrihaan
27,28,Dastina,"717 Nika Road, Los Angeles",13773119217,Ellie-Grace Shreeya
28,29,Abdulah,"686 Muhib Lane, Paris",18642439158,Colby-Patrick Uyo
29,30,Evir,"413 Navi-Gra Lane, Shanghai",15810545562,Rhuridh Nawazg
30,31,Ahleen,"625 Resham Lane, Beijing",18697610820,Annmaria Mya-Jade
31,32,Ayub,"932 Bode Road, Madrid",18954962422,Ode Leto
32,33,Miella,"178 Nizara-M Lane, Delhi",15874118171,Florence Lujain
33,34,Ann,"143 Tailer-J Lane, Seoul",18998283358,Aleezah Makatendeka
34,35,Kailli,"401 Lexi-Jo Avenue, Hong Kong",13774523505,Riley-Joshua Zoe-Louise
35,36,Chanuthmee,"999 Sky Lane, Paris",18999681239,Rhyka Kaleo
36,37,Zaira,"803 Aima Lane, Shanghai",13727605502,Xiang Aishwarya
37,38,Sapna,"590 Mollie-M Lane, Shanghai",19175017135,Ardan Abe
38,39,Lukenzo,"872 Ashdan Road, Sao Paulo",13799721602,Ilithya Milley
39,40,Aaliyah-Rose,"377 Rital Street, Manila",19129898836,Jiya Narayani
40,41,Jones,"794 Reshmi Street, Delhi",18636193138,Darci-May Leeyla
41,42,Lucifer,"48 Ritisha Street, London",18636975315,Latoya Chideziri
42,43,Fynley,"384 Annoushk Street, Beijing",19139661845,Mia-Belle Abby-May
43,44,Ariell,"462 Meribell Street, Manila",13724584157,Haisam Rudy
